Document type;Authors;Title;Source;Full journal;Publication year;Volume;Issue;Pages;Folders filed in;Publisher;Date published;ISSN;ISSN (alt.);URLs;DOI;Abstract;Keywords
Book;Kanalici I,Erdem AS,Ozturan M;Integration of a simulation platform into a business process management tool;;;2009;;;;"References;mestrado;mestrado/with pdf";;2009;;;http://dx.doi.org/10.3724/sp.j.1087.2009.03117;10.3724/sp.j.1087.2009.03117;Information technology (IT) has already gone beyond being a supportive tool for businesses. Strong competition and increased costs force businesses act more efficiently and rapidly, so almost in every business, the operations are carried out in IT platforms where the processes are automated. These platforms are referred to as Business Process Management (BPM) Suites. With this motivation, most companies analyze and reengineer their workflows. At this point, it is vital to be able to monitor current or reengineered business processes with key performance indicators and keep the process flows under control. This introduces a challenge for the management to evaluate how any particular modification to any of the process workflows affects the performance measures. Therefore simulation becomes an essence in the contemporary management of businesses. In practice, major business process management softwares include some kind of simulation environment either as an embedded engine within the modeling component or through third-party integration. In this study a general purpose simulation platform is analyzed and a mapping algorithm is developed to integrate modeling capabilities of a BPM tool with this simulation environment.;"Business process management; Simulation"
Book;Kamrani F,Ayani R,Karimson A;Optimizing a Business Process Model by Using Simulation;;;2010;;;;"References;mestrado;mestrado/with pdf";;2010;;;http://dx.doi.org/10.1109/PADS.2010.5471671;10.1109/PADS.2010.5471671;In this paper we present the problem of optimizing a business process model with the objective of finding the most beneficial assignment of tasks to agents, without modifying the structure of the process itself. The task assignment problem for four types of processes are distinguished and algorithms for finding optimal solutions to them are presented: 1) a business process with a predetermined workflow, for which the optimal solution is conveniently found using the well-known Hungarian algorithm. 2) a Markovian process, for which we present an analytical method that reduces it to the first type. 3) a nonMarkovian process, for which we employ a simulation method to obtain the optimal solution. 4) the most general case, i.e. a nonMarkovian process containing critical tasks. In such processes, depending on the agents that perform critical tasks the workflow of the process may change. We introduce two algorithms for this type of processes. One that finds the optimal solution, but is feasible only when the number of critical tasks is few. The second algorithm is even applicable to large number of critical tasks but provides a near-optimal solution. In the second algorithm a hill-climbing heuristic method is combined with Hungarian algorithm and simulation to find an overall near-optimal solution for assignments of tasks to agents. The results of a series of tests that demonstrate the feasibility of the algorithms are included.;
Book;Kabirian A,Olafsson S;Allocation of simulation runs for simulation optimization;;;2007;;;;"References;mestrado;mestrado/with pdf";;2007;;;http://dx.doi.org/10.1109/wsc.2007.4419624;10.1109/wsc.2007.4419624;Simulation optimization (SO) is the process of finding the optimum design of a system whose performance measure(s) are estimated via simulation. We propose some ideas to improve overall efficiency of the available SO methods and develop a new approach that primarily deals with continuous two dimensional problems with bounded feasible region. Our search based method, called Adaptive Partitioning Search (APS), uses a neural network as meta-model and combines various exploitation strategies to locate the optimum. Our numerical results show that in terms of the number of evaluations (simulation runs) needed, the APS algorithm converges much faster to the optimum design than two well established methods used as benchmark.;
Book;K\Ho A,Gábor A,Szabó Z;Policy modeling in risk-driven environment;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1145/2072069.2072101;10.1145/2072069.2072101;In this paper, the main challenges of applying ICT in policy modeling are described and a solution is proposed, which emphasizes policy impact exploration, monitoring and risk management. State of the art of policy modeling is given, with the summary of those features of our solution, which goes beyond the available approaches. The paper will be structured as follows: First, the challenges of the ICT utilization for policy modeling are detailed. Next theoretical background of policy modeling is discussed, followed by research overview. The proposed solution – policy modeling cycle and the corresponding system is presented in the following section. Finally, conclusion and future work are shown.;
Book;Juwitasary H,Christian L,Putra EP,Sardjono W;Business Process Management System Implementation Model for Improving Employee Performance;;;2018;;;;"References;mestrado;mestrado/with pdf";;2018;;;http://dx.doi.org/10.1109/ICIMTech.2018.8528135;10.1109/ICIMTech.2018.8528135;Business Process Management Systems focuses on the development of the company's business processes in improving the relationship between the customer and the supplier (supply chain management) to fulfill customer demand. This process focuses on understanding the needs of the company's business processes to improve employee performance. The purpose of the study was to define business process management systems implementation model that can be used to measure employee performance improvement. The research methodology used the literature study, observations, questionnaires, and analysis of data using factor analysis. Results obtained from the research is a new factor analysis and indicators that can be used as a basis business process management systems implementation model for employee performance measurement model. Thus it can be concluded that in this study, the example of the company used in the study has an inadequate business process management system so that the results of this study produce a business process management implementation model that can be used as a benchmark in improving employee performance in a better direction. © 2018 IEEE.;"business process panagement system; factor analysis; key performance indikator"
Book;Juan-Verdejo A,Baars H;Decision support for partially moving applications to the cloud: the example of business intelligence;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1145/2462307.2462316;10.1145/2462307.2462316;Cloud computing services have evolved to a sourcing option that promises a wide range of benefits, such as increased scalability and flexibility at reduced costs. However, many enterprise applications are subject to strict requirements – e.g. regarding privacy, security and availability – and are embedded into complex enterprise IT architectures with a multitude of interdependencies. For these reasons, many decision makers have developed a sceptical stance towards cloud computing. A solution might be a hybrid (local/cloud infrastructure) approach where only suited components are migrated to a cloud infrastructure. This, however, has significant architectural consequences that need to be taken into account. This contribution suggests a cloud migration framework that will be implemented as an IT-based decision support system based on modelling the interdependencies between components. The approach is illustrated with the example of Business Intelligence (BI), i.e. integrated approaches to management support. The underlying decision model would particularly consider data transfer volumes, performance, sensitivity of cloud based data repositories, as well as exposure to public networks. The potential of such an approach is illustrated with a selected set of BI scenarios. Based on this, conclusions are derived and generalised for approaches taking into account deployments on both the local premises and cloud infrastructures.;
Book;Jing-hua X,Kang X,Xiao-wei W;Toward a systematic methodology for developing business performance management systems;;;2010;;;;"References;mestrado;mestrado/with pdf";;2010;;;http://dx.doi.org/10.1109/ICMSE.2010.5719780;10.1109/ICMSE.2010.5719780;Business performance management (BPM) systems involve many features different from traditional Enterprise resource planning (ERP) applications. Based on academic research and industrial experiences on developing BPM systems, this paper describes a framework and methodology for understanding the process of BPM design and implementation projects. The methodology was applied and proved in developing BPM systems for large companies in China. This paper reviews the researches of BPM system development and discusses the concept and the methodology for developing BPM systems. Based on the real case study, the research analyzes the characteristics and critical issues of the design and the implementing of BPM systems. It discusses the concept and the basic working principles of BPM systems. A conceptual framework of the methodology for developing BPM systems is built upon the study.;
Book;Jiang G,Zhao S,Yang H,Zhang K;Research on Finance Risk Management based on Combination Optimization and Reinforcement Learning;;;2025;;;;"References;mestrado;mestrado/with pdf";;2025;;;http://dx.doi.org/10.1145/3708036.3708145;10.1145/3708036.3708145;The impact of financial risks extends beyond the normal operation and survival of industrial and commercial enterprises and financial institutions. They also have the potential to impede the stable development of a country's and even the world's financial economy. This is clearly demonstrated by the severe consequences of the frequent financial crises that have occurred in recent years. It thus follows that the prevention of financial risks has become one of the core tasks of the operation and management of industrial and commercial enterprises and financial institutions. Portfolio optimization techniques are employed in the construction of a variety of asset allocation models, with reinforcement learning algorithms used to dynamically adjust investment strategies with the objective of maximizing returns and minimizing risks. The preliminary construction of an asset allocation model is achieved through the utilization of a genetic algorithm. Genetic algorithms emulate the processes of natural selection and genetic variation to identify the optimal portfolio of assets that will yield the greatest returns at a pre-established level of risk. Subsequently, the Deep Q-Learning algorithm is introduced to facilitate dynamic adjustments and optimization of the asset allocation, based on the initial construction. Deep Q-learning employs deep neural networks to forecast the prospective returns of disparate investment strategies, thereby optimizing the decision-making process through continuous learning and updating. The combination of genetic algorithms and deep Q-learning enables the system to identify the optimal investment strategy under a diverse range of initial conditions and to adapt it in real-time to respond to market fluctuations and uncertainties. The experimental analysis demonstrates that the proposed method exhibits an exemplary capacity for risk control and a robust ability to generate stable income growth across diverse market environments. In simulation experiments, portfolios constructed using this method demonstrate lower volatility and higher average returns than those generated through traditional methods.;
Book;Janiesch C,Matzner M,Müller O,Vollmer R,Becker J;Slipstream: architecture options for real-time process analytics;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1145/1982185.1982252;10.1145/1982185.1982252;Timely insight into a company's business processes is of great importance for operational efficiency. However, still today companies struggle with inflexibility of monitoring solutions and reacting to process information on time. We review the current state of the art of business process management and business activity management. Based on that we develop an architecture for event-driven business activity monitoring which is capable of standalone process analytics or can make use of complex event processing engines to filter and aggregate process events in realtime. We discuss advantages and disadvantages of the two options in terms of ease of use, flexibility, and extensibility and close by introducing on future research directions based on our experiences from a prototypical implementation using standard software.;
Book;Janiesch C,Fischer R,Matzner M,Müller O;Business activity management for service networks in cloud environments;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1145/2093185.2093187;10.1145/2093185.2093187;Companies struggle to find ways to manage intra- and interorganizational service networks communicating in a distributed fashion across the globe. We review the state-of-the-art of managing choreographed service networks and put it in relation to process analytics and complex event processing (CEP) against the background of Cloud computing. We present an initial architecture for Event-driven Business Activity Management of service networks which also takes into consideration levels of virtualization. The architecture can serve as a blueprint for flexible business activity monitoring applications as well as closed loop service choreography control solutions. We illustrate the interaction of Cloud infrastructure, services networks, and CEP systems with a number of use cases. In addition, we discuss future research directions based on our experiences from early prototypes.;
Book;Janiesch C,Weber I,Kuhlenkamp J,Menzel M;Optimizing the performance of automated business processes executed on virtualized infrastructure;;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.1109/HICSS.2014.474;10.1109/HICSS.2014.474;With few exceptions, the opportunities cloud computing offers to business process management (BPM) technologies have been neglected so far. We investigate opportunities and challenges of implementing a BPM-aware cloud architecture for the benefit of process runtime optimization. Processes with predominantly automated tasks such as data transformation processes are key targets for this runtime optimization. In theory, off-the-shelf mechanisms offered by cloud providers, such as horizontal scaling, should already provide as much computational resources as necessary for a process to execute in a timely fashion. However, we show that making process data available to scaling decisions can significantly improve process turnaround time and better cater for the needs of BPM. We present a model and method of cloud-aware business process optimization which provides computational resources based on process knowledge. We describe a performance measurement experiment and evaluate it against the performance of a standard automatic horizontal scaling controller to demonstrate its potential. © 2014 IEEE.;
Journal Article;Jallow AK,Majeed B,Vergidis K,Tiwari A,Roy R;Operational risk analysis in business processes;BT Technol. J.;BT technology journal;2007;;;;"References;mestrado;mestrado/with pdf";;2007;1358-3948;1573-1995;http://dx.doi.org/10.1007/s10550-007-0018-4;10.1007/s10550-007-0018-4;The operational continuity of a business process is an important performance indicator that contributes to the perceived quality of service delivery, hence it is important to understand and monitor the underlying issues that can affect the performance of the process. These issues might have been foreseen at the beginning of the process design and deployment phase, or might have emerged during the execution of the process, and must be viewed as risk threats to the business process. In most cases risk is only considered from the project management angle or from financial, market, insurance and other general business perspective. Operational risk at service provision level receives little attention and thus there is a need to develop methodologies and tools to identify and analyse business operational risks. The authors concentrate on operational risk for business process management by introducing a novel way for applying risk assessment frameworks at the process activity level. The paper briefly reviews existing risk frameworks and selects the COSO framework as the most appropriate for business processes. This framework is modified in order to address and evaluate the main elements of business processes. It defines a statistical approach towards operational risk assessment by quantifying risk factors in each activity within a business process for service provision. A risk forecast is produced for each activity, and for the whole process, to model associated uncertainties and to contribute in identifying the risk factors that affect the business process objectives. To demonstrate the framework, it is applied to a hypothetical process involving setting up a network service. These results help to advise on which risk factors need higher attention in order to achieve successful process fulfilment. © Springer Science+Business Media, Inc. 2007.;
Journal Article;Jaklic J,Trkman P,Groznik A,Stemberger MI;Enhancing lean supply chain maturity with business process management;J. Inf. Organ. Sci.;Journal of information and organizational sciences;2006;;;;"References;mestrado;mestrado/with pdf";;2006;1846-3312;1846-9418;http://dx.doi.org/10.1201/9781420000344.ch4;10.1201/9781420000344.ch4;In today's global market the main focus of competition is not only between different companies but also between supply chains. Technological changes and organizational improvements are important for effective supply chain management (SCM), however, the main cause of SCM improvements is not the implementation of an information system (IS) itself, but rather a change and an integration of business processes. The paper summarizes the most important concepts of SCM and specifically concentrates on the importance of business process management (BPM) in supply chains, because full advantages can be realized when business processes in the supply chain are well defined, integrated and managed. The main purpose of this paper is to show that successful SCM calls for the maturity of supply chain processes in all involved companies and at the supply chain level, which can be realized by using effective BPM methods. A necessary condition for growing of SCM in terms of supply chain process maturity levels is an inter-organizational information system development and process renovation. Yet, BPM should not be considered as a one-time project of IS implementation and process change, but as a permanent process performance measurement, analysis and continuous improvement of the supply chain processes. The concepts are illustrated with a case study of fuel supply process.;"Business process management; Business process redesign; Case study; Fuel supply process; Process integration; Process maturity; Supply chain management"
Journal Article;Jahani H,Jain R,Ivanov D;Data science and big data analytics: a systematic review of methodologies used in the supply chain and logistics research;Ann. Oper. Res.;Annals of operations research;2023;;;;"References;mestrado;mestrado/with pdf";;2023;0254-5330;1572-9338;http://dx.doi.org/10.1007/s10479-023-05390-7;10.1007/s10479-023-05390-7;Abstract Data science and big data analytics (DS &BDA) methodologies and tools are used extensively in supply chains and logistics (SC &L). However, the existing insights are scattered over different literature sources and there is a lack of a structured and unbiased review methodology to systematise DS &BDA application areas in the SC &L comprehensively covering efficiency, resilience and sustainability paradigms. In this study, we first propose an unique systematic review methodology for the field of DS &BDA in SC &L. Second, we use the methodology proposed for a systematic literature review on DS &BDA techniques in the SC &L fields aiming at classifying the existing DS &BDA models/techniques employed, structuring their practical application areas, identifying the research gaps and potential future research directions. We analyse 364 publications which use a variety of DS &BDA-driven modelling methods for SC &L processes across different decision-making levels. Our analysis is triangulated across efficiency, resilience, and sustainability perspectives. The developed review methodology and proposed novel classifications and categorisations can be used by researchers and practitioners alike for a structured analysis and applications of DS &BDA in SC &L.;"Data analytics; Predictive analytics; Data science; Big data; Data mining; Machine learning; Supply chain; Logistics; Data-driven optimisation"
Book;Jafari MA,Esmaeilpour M;To Enhance Municipal Revenue Department Processes Using Process Mining Techniques (A Case Study: Hamedan Province);;;2024;;;;"References;mestrado;mestrado/with pdf";;2024;;;http://dx.doi.org/10.1109/QICAR61538.2024.10496662;10.1109/QICAR61538.2024.10496662;Over the past decade, process mining has emerged as a research field analyzing processes using event data. Unlike traditional data mining techniques, which focus on specific steps, process mining looks at end-to-end business processes. This is made possible by the increasing availability of event data and advancements in process discovery and conformance checking techniques. Process models, which were previously created manually without using event data, are now used for analysis, simulation, verification, and enactment by Business Process Management and Workflow Management systems (BPM/WFM). Process mining techniques utilize event logs to discover, analyze, and enhance business processes by examining the activities performed by people, machines, and software. In this paper, four process mining miners (Alpha Miner, Alpha++ Miner, Genetic Miner and Heuristics Miner) were utilized to enhance the processes of revenue department in the municipality of Hamadan based on the event logs. The contextualization of this research lies in its importance in improving municipal revenue practices, enhancing transparency, and optimizing resource allocation, which is a critical aspect of efficient governance. Process mining offers a data-driven approach to identify bottlenecks, delays, and deviations in the revenue process, ultimately leading to more effective decision-making and improved public service delivery. The results demonstrated that the Genetic Miner achieved the best result with an impressive 98% overall score, which is an average across key performance metrics including fitness, simplicity, precision, and generalization. The implications of this finding highlight the potential for municipalities and similar organizations to leverage process mining as a means of enhancing their revenue processes, thereby fostering more efficient resource allocation and governance. ©2024 IEEE.;"Event Log; Hamedan Municipality; Hamedan Province; Process Mining; Revenue Process Enhancement"
Journal Article;Ivanchikj A,Serbout S,Pautasso C;Live process modeling with the BPMN Sketch Miner;Softw. Syst. Model.;Software & Systems Modeling;2022;;;;"References;mestrado;mestrado/with pdf";;2022;1619-1366;1619-1374;http://dx.doi.org/10.1007/s10270-022-01009-w;10.1007/s10270-022-01009-w;Abstract BPMN Sketch Miner is a modeling environment for generating visual business process models starting from constrained natural language textual input. Its purpose is to support business process modelers who need to rapidly sketch visual BPMN models during interviews and design workshops, where participants should not only provide input but also give feedback on whether the sketched visual model represents accurately what has been described during the discussion. In this article, we present a detailed description of the BPMN Sketch Miner design decisions and list the different control flow patterns supported by the current version of its textual DSL. We also summarize the user study and survey results originally published in MODELS 2020 concerning the tool usability and learnability and present a new performance evaluation regarding the visual model generation pipeline under actual usage conditions. The goal is to determine whether it can support a rapid model editing cycle, with live synchronization between the textual description and the visual model. This study is based on a benchmark including a large number of models (1350 models) exported by users of the tool during the year 2020. The main results indicate that the performance is sufficient for a smooth live modeling user experience and that the end-to-end execution time of the text-to-model-to-visual pipeline grows linearly with the model size, up to the largest models (with 195 lines of textual description) found in the benchmark workload.;"Business Process Model and Notation (BPMN); Process mining; Domain-specific languages; Performance evaluation"
Journal Article;Irani Z,Love PE;Developing a frame of reference for ex-ante IT/IS investment evaluation;Eur. J. Inf. Syst.;European journal of information systems: an official journal of the Operational Research Society;2002;;;;"References;mestrado;mestrado/with pdf";;2002;0960-085X;1476-9344;http://dx.doi.org/10.1057/palgrave.ejis.3000411;10.1057/palgrave.ejis.3000411;;
Journal Article;Iqbal S,Altaf W,Aslam M,Mahmood W,Khan MU;Application of intelligent agents in health-care: review;Artif. Intell. Rev.;Artificial intelligence review;2016;;;;"References;mestrado;mestrado/with pdf";;2016;0269-2821;1573-7462;http://dx.doi.org/10.1007/s10462-016-9457-y;10.1007/s10462-016-9457-y;;"Software agents; Multi agent systems; Health informatics; Patient monitoring"
Journal Article;Iorga D,Scarlat C;Matrix-type model to control the business processes;UPB Scientific Bulletin, Series D: Mechanical Engineering;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.2298/ns2011sladicgoran;10.2298/ns2011sladicgoran;The aim of this paper is to introduce a matrix model to be used for business process management. The process control matrix is applied in the case of the Romanian Farm Land Register (cadastre services) - which is a premiere and an original contribution. The Key Performance Indicators (KPI) and control matrix were developed using statistical methods while six sigma methodology and lean production systems were used to select the relevant factors. The results are positive and managerial implications are associated to the advantages of the model - mainly a higher stability of the process outputs - for the benefit of the whole organization, which is transiting from unstructured activities to a process-focused organization.;"Business process management; KPI (Key Performance Indicators); KPI control matrix; Lean six sigma; Romanian Farm Land Register; Transfer matrix"
Book;Ilahi L,Martinho R,Ghannouchi SA,Domingos D,Rijo R;Similarity Based Approach for Comparing Home Healthcare Processes Models in Portugal;;;2016;;;;"References;mestrado;mestrado/with pdf";;2016;;;http://dx.doi.org/10.1016/j.procs.2016.09.161;10.1016/j.procs.2016.09.161;Similarity metrics applied to business processes are used to compare and assess the similarities and differences between a set of process models. The results of this comparison can then serve as input to take management decisions, such as to prevent the proliferation of process variants. This is particularly useful in large (enterprise or governmental) organizations with multiple organizational units that share the same business processes. Examples include faculties of a university and their student enrollment process, hospitals or primary care centers of National Health Services and their medical appointment process, or even the pick and pack process across several warehouses of a large company. Due to many aspects (i.e. local policies, resources, socio-technical aspects, culture), a certain business process is individually evolved and refined across the multiple organizational units of the same organization. Organizations have then to deal with several process variants, which hampers the collection of performance indicators, optimization procedures and business process management overall. In this paper, we perform a similarity based approach to assess the similarities and differences that exist between home healthcare processes for two public primary healthcare centers in Portugal. We will achieve this by eliciting business process models according to best practices. Then, we lead a similarity based comparison between the elicited models. This is in order to show how much models are different in the same organization. © 2016 The Authors.;"BPM; Flexibility; Home healthcare processes; Modeling; Process Governance; Similarity metrics"
Book;Ibrahim A,Fletcher GH;Efficient processing of containment queries on nested sets;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1145/2452376.2452404;10.1145/2452376.2452404;"We study the problem of computing containment queries on sets which can have both atomic and set-valued objects as elements, i.e., nested sets. Containment is a fundamental query pattern with many basic applications. Our study of nested set containment is motivated by the ubiquity of nested data in practice, e.g., in XML and JSON data management, in business and scientific workflow management, and in web analytics. Furthermore, there are to our knowledge no known efficient solutions to computing containment queries on massive collections of nested sets. Our specific contributions in this paper are: (1) we introduce two novel algorithms for efficient evaluation of containment queries on massive collections of nested sets; (2) we study caching and filtering mechanisms to accelerate query processing in the algorithms; (3) we develop extensions to the algorithms to a) compute several related query types and b) accommodate natural variations of the semantics of containment; and, (4) we present analytic and empirical analyses which demonstrate that both algorithms are efficient and scalable.";
Book;Hwang G,Park J;Business Process Modeling for developing performance measurement system using Internet of Things (IoT);;;2015;;;;"References;mestrado;mestrado/with pdf";;2015;;;http://dx.doi.org/10.3390/iot2020016;10.3390/iot2020016;"The concept of Internet of Things (IoT) is important in collecting the shop floor data and transmitting it into the Information System in real time. The rapid proliferation of IoT in recent days has given rise to demands for clear definition among metrics as important sources of the performance measurement. This requirement comes from the various usage of IoT data: One raw IoT data is able to produce many metrics. In order to understand it, we need to consider the usage points of IoT data at different management levels. And by composing company management levels: Strategic level, Tactical level and operational levels, we are able to analysis usage of IoT data among management levels. The purpose of this study is to present the work flow of the performance measurement process with regard to monitoring the IoT outcomes. Also, we try to explore the core issues with Business Process Modelling and simulation. As a result of study, we expect that how IoT data is processed and which level needs an IoT data as a performance metrics. We use BPM as a description of activities that constitute a performance measurement. Those are described in a graphical way using some components: Agent, Resources, Process, flow logic, and etc. Agent is management level which is consists of following three level: Strategic level, Tactical level and operational levels. Resources is defined as ""IoT outcomes that is of utility and under the control of some agents?. Process has an acitivity that uses the resources to produce new or modify existing process. The identification and discussion of result of BPM reflects how IoT data is handled and make a clear distinction of metrics usage among management levels.";"Business Process Modeling; Internet of Things; Performance measurement"
Book;Hundzinski LN,De Lima EP,Gouvea Da Costa SE,Machado CG,Cestari JM,Kluska RA;Sustainability standards and guidelines requirements for integrated management;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.3403/30121966u;10.3403/30121966u;Organizations are influenced by external demands which can be represented by changes on the markets organizations are part of. Companies are operating on a new context, where the importance of sustainability has been highlighted by events such as environmental problems, social responsibility issues and quality assurance of products and services. Those aspects are represented by the areas of the Triple Bottom-Line (3BL), which treat organizations operational performance on economic, environmental and social aspects. However, organizations are still trying to develop new performance measurement systems, which relate to the 3BL and that can be used for sustainable performance assessment and benchmarking. In order to address this need, this research aims to develop a process that enables standards and guidelines to be used as tools for the establishment of a performance measurement system which can address the needs of integrated management on behalf of sustainability aspects. The method used on the development of this article is based on concepts of the Process Approach methodology from Cambridge University, as well as Business Process Management Notation to represent processes for performance assessment. Those processes were built with a high emphasis on Performance Assessment frameworks and Key Performance Indicators (KPIs) theories. The processes generated have been applied in a project of innovation in sustainable management, in which its application enabled to work with requirements from various standards and guidelines in a practical context, through the usage of indicators and performance measurement. Exemplifying the application of this process, the article will aim to clarify the usage of indicators based on standards and guidelines as a tool for sustainability assessment, through an integrated management of an organization set of standards and guidelines.;"Process approach; Standards; Sustainable operations; Sustainable performance measurement system"
Book;Hullinger DR;Taylor Enterprise Dynamics;;;1999;;;;"References;mestrado;mestrado/with pdf";;1999;;;http://dx.doi.org/10.1145/324138.324209;10.1145/324138.324209;;
Book;Hull R,Su J,Vaculin R;Data management perspectives on business process management: tutorial overview;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1145/2463676.2467802;10.1145/2463676.2467802;"Traditional approaches to Business Process Management (BPM) focus primarily on the process aspects, and treat the persistent data accessed and manipulated by the business processes as second class citizens. A recent approach to BPM, based on ""business artifacts"", is centered on a modeling framework that places data and process on an equal footing. The approach has been shown useful in various application domains, and one variant of business artifacts forms the basis of the emerging OMG Case Management Model and Notation (CMMN) standard. Research results have been developed around conceptual models, enterprise interoperation, business intelligence, and verification. This data-centric approach has the potential to provide the basis for a new generation of BPM technology in support of diverse application, and fueled by the insights into abstraction and data management that have been the hallmark of database research since the 70's.";
Journal Article;Hu M;Optimal renovation strategies for education buildings-A novel BIM-BPM-BEM framework;Sustainability (Switzerland);;2018;;;;"References;mestrado;mestrado/with pdf";;2018;;;http://dx.doi.org/10.3390/su10093287;10.3390/su10093287;The aim of this paper is to propose a novel building information model (BIM)-building performance model (BPM)-building environmental model (BEM) framework to identify the most energy-efficient and cost-effective strategies for the renovation of existing education buildings to achieve the nearly zero-energy goal while minimizing the environmental impact. A case building, the University of Maryland's Architecture Building, was used to demonstrate the validity of the framework and a set of building performance indicators-including energy performance, environmental impacts, and occupant satisfaction-were used to evaluate renovation strategies. Additionally, this novel framework further demonstrated the interoperability among different digital tools and platforms. Lastly, following a detailed analysis and measurements, the case study results highlighted a particular energy profile as well as the retrofit needs of education buildings. Eight different renovation packages were analyzed with the top-ranking package indicating an energy saving of 62%, carbon emissions reduction of 84%, and long-term cost savings of 53%, albeit with a relatively high initial cost. The most preferable package ranked second in all categories, with a moderate initial cost. © 2018 by the authors.;"Building environmental model; Building information model; Building performance model; Education buildings; Nearly zero energy; Renovation"
Book;Hu M;Optimized renovation strategies of education building - A novel BIM/BPM/BEM framework;;;2019;;;;"References;mestrado;mestrado/with pdf";;2019;;;http://dx.doi.org/10.26868/25222708.2019.210333;10.26868/25222708.2019.210333;Educational building in United State account for around 14% of overall non-residential floor area. 76.61% of education building are twenty years old or older when the major building systems and equipment reach their service life span, and 38.30% of buildings are 50 years older or older which is nearly the expected serviceable lifespan of the buildings (CBECS, 2012). The aim of this paper is to propose a novel Building information model (BIM)-Building performance model (BPM) - Building environmental model (BEM) framework to identify the most energy efficient and cost effective strategies to renovate the existing education building to achieve the nearly zero energy goal while minimizing the environmental impact. A case building is used to demonstrate the validity of framework, and a set of building performance indicators includes energy performance, environmental impacts, occupant satisfaction are used to evaluate the renovation strategies. This novel framework further demonstrates the interoperability among different digital tools and platform as well. Lastly, the case study results highlight the particular energy profile and retrofit needs of education buildings with detailed analysis and measurement. © (2019) by International Building Performance Simulation Association (IBPSA) All rights reserved.;
Journal Article;Hu L,Bai C,Gershon M,Zhou C;Evaluating and Selecting the Key Performance Measures for Business Process Management Using a Neighborhood Rough Set Methodology;Information (Japan);;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1108/01409171011092176;10.1108/01409171011092176;Currently, business process management (BPM) is an important foundation to be able to improve competitiveness. For successful BPM implementation, the performance measurement for BPM is one of the most important issues. However, because of the wide variety of business process performance measures existing, choosing the performance measures is an extremely difficult and time-consuming task. This paper sshows how to determine which performance measures are effectively monitoring the expected outcomes of management and helps project managers to make a proper BPM investment strategy. Through a review of the literature, 24 performance measures were identified for the successful implementation of BPM performance measurement. To help advance this area of research and to help further integrate sustainability discussion into the performance measurement of BPM modeling area, this paper uses a mixed-number based neighborhood rough set approach to determine and manage these performance measures. Additionally, a case study is presented to illustrate the application of the proposed method. Insights into the application of the technique from both a research and managerial perspective are presented. Aggregate analysis for the methodology and future research directions are also introduced. ©2013 International Information Institute.;"Business process management; Mixed-number; Neighborhood rough set; Performance measures"
Book;Hsu SF,Lee YI,Hsu CT,Hsu CY;Using No-code Platform to Accelerate Digital Transformation – The Study for Feasibility Analysis and Solution Development of Performance Visualization Cloud-computing Management System (PVCMS);;;2023;;;;"References;mestrado;mestrado/with pdf";;2023;;;http://dx.doi.org/10.1145/3588155.3588159;10.1145/3588155.3588159;"This study is based on government's digital transformation policy and the industry's digital development trend. Micro-Small Enterprises(MSEs) are the target customers to meet the organizational productivity management needs of key performance indicators (KPI) and project management (PjM) as the research subject, combined with management by objectives (MBO) and performance appraisal organizational management practice as a methodology, using Google's No-code smart cloud-computing service as a practical platform, integrating data input/processing/analysis/ visualization (D/IPAV®) workflows to customized develop the ""Performance Visualization Cloud-computing Management System"" (PVCMS) of the organization's operational data monitoring and decision-making digital dashboard. This project sets PVCMS as the core product and develops a set of indicators construction, analysis and visual monitoring that meet the performance management needs of the industry. Diagnosis and Consultant model as a solution, to follow-up actual commercialization standard operating procedure to be followed, and quick import templates for various performance management visualization modules. Its operation process is mainly divided into five stages: (1). Define performance management requirements, (2). Establish KPIs, (3). Link Indicator with performance evaluation, (4). Build performance management system, (5). Track Indicators and decision-making application.";
Journal Article;Hsieh FS,Lin JB;A self-adaptation scheme for workflow management in multi-agent systems;J. Intell. Manuf.;Journal of intelligent manufacturing;2016;;;;"References;mestrado;mestrado/with pdf";;2016;0956-5515;1572-8145;http://dx.doi.org/10.1007/s10845-013-0818-y;10.1007/s10845-013-0818-y;;"Workflow; Holonic system; Multi-agent system; Self-adaptation; Petri nets"
